feature,target,cloud_ratio
D:\ITMO\senne\competition\data\train_features\vegf,D:\ITMO\senne\competition\data\train_labels\vegf.tif,0.478
D:\ITMO\senne\competition\data\train_features\fmhj,D:\ITMO\senne\competition\data\train_labels\fmhj.tif,0.0
D:\ITMO\senne\competition\data\train_features\rzrw,D:\ITMO\senne\competition\data\train_labels\rzrw.tif,0.17
D:\ITMO\senne\competition\data\train_features\dxpl,D:\ITMO\senne\competition\data\train_labels\dxpl.tif,0.005
D:\ITMO\senne\competition\data\train_features\afej,D:\ITMO\senne\competition\data\train_labels\afej.tif,0.303
D:\ITMO\senne\competition\data\train_features\peqy,D:\ITMO\senne\competition\data\train_labels\peqy.tif,0.259
D:\ITMO\senne\competition\data\train_features\crlj,D:\ITMO\senne\competition\data\train_labels\crlj.tif,0.017
D:\ITMO\senne\competition\data\train_features\tgmi,D:\ITMO\senne\competition\data\train_labels\tgmi.tif,0.523
D:\ITMO\senne\competition\data\train_features\ahwr,D:\ITMO\senne\competition\data\train_labels\ahwr.tif,1.0
D:\ITMO\senne\competition\data\train_features\rblw,D:\ITMO\senne\competition\data\train_labels\rblw.tif,1.0
D:\ITMO\senne\competition\data\train_features\giry,D:\ITMO\senne\competition\data\train_labels\giry.tif,0.906
D:\ITMO\senne\competition\data\train_features\wxed,D:\ITMO\senne\competition\data\train_labels\wxed.tif,0.419
D:\ITMO\senne\competition\data\train_features\dcae,D:\ITMO\senne\competition\data\train_labels\dcae.tif,1.0
D:\ITMO\senne\competition\data\train_features\htts,D:\ITMO\senne\competition\data\train_labels\htts.tif,1.0
D:\ITMO\senne\competition\data\train_features\tivl,D:\ITMO\senne\competition\data\train_labels\tivl.tif,1.0
D:\ITMO\senne\competition\data\train_features\apgj,D:\ITMO\senne\competition\data\train_labels\apgj.tif,0.974
D:\ITMO\senne\competition\data\train_features\emfn,D:\ITMO\senne\competition\data\train_labels\emfn.tif,1.0
D:\ITMO\senne\competition\data\train_features\vpwq,D:\ITMO\senne\competition\data\train_labels\vpwq.tif,0.873
D:\ITMO\senne\competition\data\train_features\nbap,D:\ITMO\senne\competition\data\train_labels\nbap.tif,0.057
D:\ITMO\senne\competition\data\train_features\lryt,D:\ITMO\senne\competition\data\train_labels\lryt.tif,0.94
D:\ITMO\senne\competition\data\train_features\mtrd,D:\ITMO\senne\competition\data\train_labels\mtrd.tif,0.702
D:\ITMO\senne\competition\data\train_features\duej,D:\ITMO\senne\competition\data\train_labels\duej.tif,0.379
D:\ITMO\senne\competition\data\train_features\navr,D:\ITMO\senne\competition\data\train_labels\navr.tif,0.0
D:\ITMO\senne\competition\data\train_features\ktgh,D:\ITMO\senne\competition\data\train_labels\ktgh.tif,1.0
D:\ITMO\senne\competition\data\train_features\jdfj,D:\ITMO\senne\competition\data\train_labels\jdfj.tif,0.44
D:\ITMO\senne\competition\data\train_features\nmqj,D:\ITMO\senne\competition\data\train_labels\nmqj.tif,0.0
D:\ITMO\senne\competition\data\train_features\njmh,D:\ITMO\senne\competition\data\train_labels\njmh.tif,1.0
D:\ITMO\senne\competition\data\train_features\eojo,D:\ITMO\senne\competition\data\train_labels\eojo.tif,1.0
D:\ITMO\senne\competition\data\train_features\qiav,D:\ITMO\senne\competition\data\train_labels\qiav.tif,1.0
D:\ITMO\senne\competition\data\train_features\kyut,D:\ITMO\senne\competition\data\train_labels\kyut.tif,0.021
D:\ITMO\senne\competition\data\train_features\dcuw,D:\ITMO\senne\competition\data\train_labels\dcuw.tif,1.0
D:\ITMO\senne\competition\data\train_features\kyuz,D:\ITMO\senne\competition\data\train_labels\kyuz.tif,0.985
D:\ITMO\senne\competition\data\train_features\eojt,D:\ITMO\senne\competition\data\train_labels\eojt.tif,0.933
D:\ITMO\senne\competition\data\train_features\auok,D:\ITMO\senne\competition\data\train_labels\auok.tif,0.734
D:\ITMO\senne\competition\data\train_features\lbcu,D:\ITMO\senne\competition\data\train_labels\lbcu.tif,0.461
D:\ITMO\senne\competition\data\train_features\alun,D:\ITMO\senne\competition\data\train_labels\alun.tif,0.932
D:\ITMO\senne\competition\data\train_features\eual,D:\ITMO\senne\competition\data\train_labels\eual.tif,0.326
D:\ITMO\senne\competition\data\train_features\lqmv,D:\ITMO\senne\competition\data\train_labels\lqmv.tif,0.104
D:\ITMO\senne\competition\data\train_features\brnl,D:\ITMO\senne\competition\data\train_labels\brnl.tif,0.0
D:\ITMO\senne\competition\data\train_features\iwrt,D:\ITMO\senne\competition\data\train_labels\iwrt.tif,0.131
D:\ITMO\senne\competition\data\train_features\ktsu,D:\ITMO\senne\competition\data\train_labels\ktsu.tif,1.0
D:\ITMO\senne\competition\data\train_features\yoqm,D:\ITMO\senne\competition\data\train_labels\yoqm.tif,1.0
D:\ITMO\senne\competition\data\train_features\yzpe,D:\ITMO\senne\competition\data\train_labels\yzpe.tif,0.603
D:\ITMO\senne\competition\data\train_features\hyyg,D:\ITMO\senne\competition\data\train_labels\hyyg.tif,0.963
D:\ITMO\senne\competition\data\train_features\sxwy,D:\ITMO\senne\competition\data\train_labels\sxwy.tif,0.851
D:\ITMO\senne\competition\data\train_features\aght,D:\ITMO\senne\competition\data\train_labels\aght.tif,0.961
D:\ITMO\senne\competition\data\train_features\thqr,D:\ITMO\senne\competition\data\train_labels\thqr.tif,0.248
D:\ITMO\senne\competition\data\train_features\lcqy,D:\ITMO\senne\competition\data\train_labels\lcqy.tif,0.972
D:\ITMO\senne\competition\data\train_features\swwq,D:\ITMO\senne\competition\data\train_labels\swwq.tif,0.229
D:\ITMO\senne\competition\data\train_features\mwvp,D:\ITMO\senne\competition\data\train_labels\mwvp.tif,0.01
D:\ITMO\senne\competition\data\train_features\odlo,D:\ITMO\senne\competition\data\train_labels\odlo.tif,0.229
D:\ITMO\senne\competition\data\train_features\wxyw,D:\ITMO\senne\competition\data\train_labels\wxyw.tif,0.995
D:\ITMO\senne\competition\data\train_features\sssu,D:\ITMO\senne\competition\data\train_labels\sssu.tif,0.794
D:\ITMO\senne\competition\data\train_features\rtaq,D:\ITMO\senne\competition\data\train_labels\rtaq.tif,0.822
D:\ITMO\senne\competition\data\train_features\wwnl,D:\ITMO\senne\competition\data\train_labels\wwnl.tif,0.28
D:\ITMO\senne\competition\data\train_features\wknv,D:\ITMO\senne\competition\data\train_labels\wknv.tif,1.0
D:\ITMO\senne\competition\data\train_features\xapl,D:\ITMO\senne\competition\data\train_labels\xapl.tif,0.227
D:\ITMO\senne\competition\data\train_features\qscm,D:\ITMO\senne\competition\data\train_labels\qscm.tif,0.062
D:\ITMO\senne\competition\data\train_features\hpjb,D:\ITMO\senne\competition\data\train_labels\hpjb.tif,1.0
D:\ITMO\senne\competition\data\train_features\rbxq,D:\ITMO\senne\competition\data\train_labels\rbxq.tif,1.0
D:\ITMO\senne\competition\data\train_features\phio,D:\ITMO\senne\competition\data\train_labels\phio.tif,1.0
D:\ITMO\senne\competition\data\train_features\xmja,D:\ITMO\senne\competition\data\train_labels\xmja.tif,0.686
D:\ITMO\senne\competition\data\train_features\qjyt,D:\ITMO\senne\competition\data\train_labels\qjyt.tif,1.0
D:\ITMO\senne\competition\data\train_features\rrlj,D:\ITMO\senne\competition\data\train_labels\rrlj.tif,0.629
D:\ITMO\senne\competition\data\train_features\nelx,D:\ITMO\senne\competition\data\train_labels\nelx.tif,0.533
D:\ITMO\senne\competition\data\train_features\grnt,D:\ITMO\senne\competition\data\train_labels\grnt.tif,0.558
D:\ITMO\senne\competition\data\train_features\hxcm,D:\ITMO\senne\competition\data\train_labels\hxcm.tif,0.0
D:\ITMO\senne\competition\data\train_features\byfc,D:\ITMO\senne\competition\data\train_labels\byfc.tif,0.0
D:\ITMO\senne\competition\data\train_features\btjz,D:\ITMO\senne\competition\data\train_labels\btjz.tif,0.98
D:\ITMO\senne\competition\data\train_features\nmdm,D:\ITMO\senne\competition\data\train_labels\nmdm.tif,1.0
D:\ITMO\senne\competition\data\train_features\ggto,D:\ITMO\senne\competition\data\train_labels\ggto.tif,0.996
D:\ITMO\senne\competition\data\train_features\dulh,D:\ITMO\senne\competition\data\train_labels\dulh.tif,0.04
D:\ITMO\senne\competition\data\train_features\jdxl,D:\ITMO\senne\competition\data\train_labels\jdxl.tif,0.507
D:\ITMO\senne\competition\data\train_features\eyuv,D:\ITMO\senne\competition\data\train_labels\eyuv.tif,0.353
D:\ITMO\senne\competition\data\train_features\rxqt,D:\ITMO\senne\competition\data\train_labels\rxqt.tif,0.0
D:\ITMO\senne\competition\data\train_features\lcst,D:\ITMO\senne\competition\data\train_labels\lcst.tif,0.219
D:\ITMO\senne\competition\data\train_features\yfti,D:\ITMO\senne\competition\data\train_labels\yfti.tif,0.329
D:\ITMO\senne\competition\data\train_features\nbci,D:\ITMO\senne\competition\data\train_labels\nbci.tif,0.0
D:\ITMO\senne\competition\data\train_features\dfgu,D:\ITMO\senne\competition\data\train_labels\dfgu.tif,0.691
D:\ITMO\senne\competition\data\train_features\kuxw,D:\ITMO\senne\competition\data\train_labels\kuxw.tif,1.0
D:\ITMO\senne\competition\data\train_features\mxtg,D:\ITMO\senne\competition\data\train_labels\mxtg.tif,0.006
D:\ITMO\senne\competition\data\train_features\ybwa,D:\ITMO\senne\competition\data\train_labels\ybwa.tif,1.0
D:\ITMO\senne\competition\data\train_features\encf,D:\ITMO\senne\competition\data\train_labels\encf.tif,0.672
D:\ITMO\senne\competition\data\train_features\agxs,D:\ITMO\senne\competition\data\train_labels\agxs.tif,1.0
D:\ITMO\senne\competition\data\train_features\cdgi,D:\ITMO\senne\competition\data\train_labels\cdgi.tif,0.27
D:\ITMO\senne\competition\data\train_features\kwmf,D:\ITMO\senne\competition\data\train_labels\kwmf.tif,0.937
D:\ITMO\senne\competition\data\train_features\svdk,D:\ITMO\senne\competition\data\train_labels\svdk.tif,1.0
D:\ITMO\senne\competition\data\train_features\mdat,D:\ITMO\senne\competition\data\train_labels\mdat.tif,0.135
D:\ITMO\senne\competition\data\train_features\pdmu,D:\ITMO\senne\competition\data\train_labels\pdmu.tif,0.994
D:\ITMO\senne\competition\data\train_features\urpl,D:\ITMO\senne\competition\data\train_labels\urpl.tif,0.45
D:\ITMO\senne\competition\data\train_features\houu,D:\ITMO\senne\competition\data\train_labels\houu.tif,1.0
D:\ITMO\senne\competition\data\train_features\ccvf,D:\ITMO\senne\competition\data\train_labels\ccvf.tif,0.121
D:\ITMO\senne\competition\data\train_features\kywo,D:\ITMO\senne\competition\data\train_labels\kywo.tif,0.911
D:\ITMO\senne\competition\data\train_features\xuyt,D:\ITMO\senne\competition\data\train_labels\xuyt.tif,1.0
D:\ITMO\senne\competition\data\train_features\vbmx,D:\ITMO\senne\competition\data\train_labels\vbmx.tif,0.741
D:\ITMO\senne\competition\data\train_features\nfak,D:\ITMO\senne\competition\data\train_labels\nfak.tif,0.72
D:\ITMO\senne\competition\data\train_features\evcz,D:\ITMO\senne\competition\data\train_labels\evcz.tif,0.526
D:\ITMO\senne\competition\data\train_features\dwbl,D:\ITMO\senne\competition\data\train_labels\dwbl.tif,0.444
D:\ITMO\senne\competition\data\train_features\ksmd,D:\ITMO\senne\competition\data\train_labels\ksmd.tif,0.996
D:\ITMO\senne\competition\data\train_features\enzr,D:\ITMO\senne\competition\data\train_labels\enzr.tif,1.0
D:\ITMO\senne\competition\data\train_features\nabr,D:\ITMO\senne\competition\data\train_labels\nabr.tif,0.192
D:\ITMO\senne\competition\data\train_features\vqgg,D:\ITMO\senne\competition\data\train_labels\vqgg.tif,0.818
D:\ITMO\senne\competition\data\train_features\dubj,D:\ITMO\senne\competition\data\train_labels\dubj.tif,0.026
D:\ITMO\senne\competition\data\train_features\ysfj,D:\ITMO\senne\competition\data\train_labels\ysfj.tif,0.905
D:\ITMO\senne\competition\data\train_features\wyha,D:\ITMO\senne\competition\data\train_labels\wyha.tif,1.0
D:\ITMO\senne\competition\data\train_features\njkp,D:\ITMO\senne\competition\data\train_labels\njkp.tif,0.0
D:\ITMO\senne\competition\data\train_features\cntg,D:\ITMO\senne\competition\data\train_labels\cntg.tif,1.0
D:\ITMO\senne\competition\data\train_features\yugu,D:\ITMO\senne\competition\data\train_labels\yugu.tif,1.0
D:\ITMO\senne\competition\data\train_features\cint,D:\ITMO\senne\competition\data\train_labels\cint.tif,0.623
D:\ITMO\senne\competition\data\train_features\bhlt,D:\ITMO\senne\competition\data\train_labels\bhlt.tif,1.0
D:\ITMO\senne\competition\data\train_features\zczf,D:\ITMO\senne\competition\data\train_labels\zczf.tif,0.375
D:\ITMO\senne\competition\data\train_features\tgin,D:\ITMO\senne\competition\data\train_labels\tgin.tif,0.0
D:\ITMO\senne\competition\data\train_features\gsse,D:\ITMO\senne\competition\data\train_labels\gsse.tif,0.379
D:\ITMO\senne\competition\data\train_features\vgtl,D:\ITMO\senne\competition\data\train_labels\vgtl.tif,0.993
D:\ITMO\senne\competition\data\train_features\obgp,D:\ITMO\senne\competition\data\train_labels\obgp.tif,0.368
D:\ITMO\senne\competition\data\train_features\ixqh,D:\ITMO\senne\competition\data\train_labels\ixqh.tif,0.344
D:\ITMO\senne\competition\data\train_features\hywg,D:\ITMO\senne\competition\data\train_labels\hywg.tif,0.937
D:\ITMO\senne\competition\data\train_features\mwsy,D:\ITMO\senne\competition\data\train_labels\mwsy.tif,0.315
D:\ITMO\senne\competition\data\train_features\xuax,D:\ITMO\senne\competition\data\train_labels\xuax.tif,0.684
D:\ITMO\senne\competition\data\train_features\clgy,D:\ITMO\senne\competition\data\train_labels\clgy.tif,0.122
D:\ITMO\senne\competition\data\train_features\dbpw,D:\ITMO\senne\competition\data\train_labels\dbpw.tif,0.706
D:\ITMO\senne\competition\data\train_features\wzmw,D:\ITMO\senne\competition\data\train_labels\wzmw.tif,0.643
D:\ITMO\senne\competition\data\train_features\hqrx,D:\ITMO\senne\competition\data\train_labels\hqrx.tif,0.996
D:\ITMO\senne\competition\data\train_features\pibo,D:\ITMO\senne\competition\data\train_labels\pibo.tif,0.455
D:\ITMO\senne\competition\data\train_features\vpyr,D:\ITMO\senne\competition\data\train_labels\vpyr.tif,1.0
D:\ITMO\senne\competition\data\train_features\jdhq,D:\ITMO\senne\competition\data\train_labels\jdhq.tif,0.476
D:\ITMO\senne\competition\data\train_features\lvrd,D:\ITMO\senne\competition\data\train_labels\lvrd.tif,1.0
D:\ITMO\senne\competition\data\train_features\qzpu,D:\ITMO\senne\competition\data\train_labels\qzpu.tif,0.972
D:\ITMO\senne\competition\data\train_features\ktgi,D:\ITMO\senne\competition\data\train_labels\ktgi.tif,1.0
D:\ITMO\senne\competition\data\train_features\dftb,D:\ITMO\senne\competition\data\train_labels\dftb.tif,0.386
D:\ITMO\senne\competition\data\train_features\jalp,D:\ITMO\senne\competition\data\train_labels\jalp.tif,0.022
D:\ITMO\senne\competition\data\train_features\lvos,D:\ITMO\senne\competition\data\train_labels\lvos.tif,0.965
D:\ITMO\senne\competition\data\train_features\zalo,D:\ITMO\senne\competition\data\train_labels\zalo.tif,0.505
D:\ITMO\senne\competition\data\train_features\cawz,D:\ITMO\senne\competition\data\train_labels\cawz.tif,0.503
D:\ITMO\senne\competition\data\train_features\dxjo,D:\ITMO\senne\competition\data\train_labels\dxjo.tif,0.223
D:\ITMO\senne\competition\data\train_features\fadp,D:\ITMO\senne\competition\data\train_labels\fadp.tif,0.521
D:\ITMO\senne\competition\data\train_features\ibjo,D:\ITMO\senne\competition\data\train_labels\ibjo.tif,0.741
D:\ITMO\senne\competition\data\train_features\akzo,D:\ITMO\senne\competition\data\train_labels\akzo.tif,0.983
D:\ITMO\senne\competition\data\train_features\avwc,D:\ITMO\senne\competition\data\train_labels\avwc.tif,0.129
D:\ITMO\senne\competition\data\train_features\yjti,D:\ITMO\senne\competition\data\train_labels\yjti.tif,0.799
D:\ITMO\senne\competition\data\train_features\ktem,D:\ITMO\senne\competition\data\train_labels\ktem.tif,1.0
D:\ITMO\senne\competition\data\train_features\dmwp,D:\ITMO\senne\competition\data\train_labels\dmwp.tif,1.0
D:\ITMO\senne\competition\data\train_features\ggih,D:\ITMO\senne\competition\data\train_labels\ggih.tif,1.0
D:\ITMO\senne\competition\data\train_features\aqrk,D:\ITMO\senne\competition\data\train_labels\aqrk.tif,0.494
D:\ITMO\senne\competition\data\train_features\xadd,D:\ITMO\senne\competition\data\train_labels\xadd.tif,0.112
D:\ITMO\senne\competition\data\train_features\vhcs,D:\ITMO\senne\competition\data\train_labels\vhcs.tif,1.0
D:\ITMO\senne\competition\data\train_features\qjuo,D:\ITMO\senne\competition\data\train_labels\qjuo.tif,1.0
D:\ITMO\senne\competition\data\train_features\hwnk,D:\ITMO\senne\competition\data\train_labels\hwnk.tif,0.013
D:\ITMO\senne\competition\data\train_features\wjyr,D:\ITMO\senne\competition\data\train_labels\wjyr.tif,0.986
D:\ITMO\senne\competition\data\train_features\cjoj,D:\ITMO\senne\competition\data\train_labels\cjoj.tif,0.007
D:\ITMO\senne\competition\data\train_features\rbsm,D:\ITMO\senne\competition\data\train_labels\rbsm.tif,1.0
D:\ITMO\senne\competition\data\train_features\anqn,D:\ITMO\senne\competition\data\train_labels\anqn.tif,0.719
D:\ITMO\senne\competition\data\train_features\sgru,D:\ITMO\senne\competition\data\train_labels\sgru.tif,1.0
D:\ITMO\senne\competition\data\train_features\yejd,D:\ITMO\senne\competition\data\train_labels\yejd.tif,1.0
D:\ITMO\senne\competition\data\train_features\qlnb,D:\ITMO\senne\competition\data\train_labels\qlnb.tif,1.0
D:\ITMO\senne\competition\data\train_features\xjrz,D:\ITMO\senne\competition\data\train_labels\xjrz.tif,1.0
D:\ITMO\senne\competition\data\train_features\oaoc,D:\ITMO\senne\competition\data\train_labels\oaoc.tif,0.49
D:\ITMO\senne\competition\data\train_features\duxf,D:\ITMO\senne\competition\data\train_labels\duxf.tif,0.116
D:\ITMO\senne\competition\data\train_features\srjs,D:\ITMO\senne\competition\data\train_labels\srjs.tif,0.833
D:\ITMO\senne\competition\data\train_features\xzpe,D:\ITMO\senne\competition\data\train_labels\xzpe.tif,1.0
D:\ITMO\senne\competition\data\train_features\vcqm,D:\ITMO\senne\competition\data\train_labels\vcqm.tif,0.906
D:\ITMO\senne\competition\data\train_features\jdgj,D:\ITMO\senne\competition\data\train_labels\jdgj.tif,0.948
D:\ITMO\senne\competition\data\train_features\srnt,D:\ITMO\senne\competition\data\train_labels\srnt.tif,0.993
D:\ITMO\senne\competition\data\train_features\nkib,D:\ITMO\senne\competition\data\train_labels\nkib.tif,0.06
D:\ITMO\senne\competition\data\train_features\gsbn,D:\ITMO\senne\competition\data\train_labels\gsbn.tif,0.587
D:\ITMO\senne\competition\data\train_features\ykxr,D:\ITMO\senne\competition\data\train_labels\ykxr.tif,1.0
D:\ITMO\senne\competition\data\train_features\kzdr,D:\ITMO\senne\competition\data\train_labels\kzdr.tif,0.98
D:\ITMO\senne\competition\data\train_features\fmlo,D:\ITMO\senne\competition\data\train_labels\fmlo.tif,0.0
D:\ITMO\senne\competition\data\train_features\hrqc,D:\ITMO\senne\competition\data\train_labels\hrqc.tif,1.0
D:\ITMO\senne\competition\data\train_features\auox,D:\ITMO\senne\competition\data\train_labels\auox.tif,0.439
D:\ITMO\senne\competition\data\train_features\lpnf,D:\ITMO\senne\competition\data\train_labels\lpnf.tif,0.982
D:\ITMO\senne\competition\data\train_features\ddwm,D:\ITMO\senne\competition\data\train_labels\ddwm.tif,1.0
D:\ITMO\senne\competition\data\train_features\vwvu,D:\ITMO\senne\competition\data\train_labels\vwvu.tif,0.372
D:\ITMO\senne\competition\data\train_features\yyuw,D:\ITMO\senne\competition\data\train_labels\yyuw.tif,0.0
D:\ITMO\senne\competition\data\train_features\huqe,D:\ITMO\senne\competition\data\train_labels\huqe.tif,1.0
D:\ITMO\senne\competition\data\train_features\ddhv,D:\ITMO\senne\competition\data\train_labels\ddhv.tif,0.939
D:\ITMO\senne\competition\data\train_features\cozi,D:\ITMO\senne\competition\data\train_labels\cozi.tif,0.463
D:\ITMO\senne\competition\data\train_features\wuzt,D:\ITMO\senne\competition\data\train_labels\wuzt.tif,0.2
D:\ITMO\senne\competition\data\train_features\hpgu,D:\ITMO\senne\competition\data\train_labels\hpgu.tif,1.0
D:\ITMO\senne\competition\data\train_features\cpqd,D:\ITMO\senne\competition\data\train_labels\cpqd.tif,0.957
D:\ITMO\senne\competition\data\train_features\lurn,D:\ITMO\senne\competition\data\train_labels\lurn.tif,1.0
D:\ITMO\senne\competition\data\train_features\zait,D:\ITMO\senne\competition\data\train_labels\zait.tif,0.399
D:\ITMO\senne\competition\data\train_features\wahc,D:\ITMO\senne\competition\data\train_labels\wahc.tif,0.563
D:\ITMO\senne\competition\data\train_features\kwnm,D:\ITMO\senne\competition\data\train_labels\kwnm.tif,0.136
D:\ITMO\senne\competition\data\train_features\dmfl,D:\ITMO\senne\competition\data\train_labels\dmfl.tif,1.0
D:\ITMO\senne\competition\data\train_features\elby,D:\ITMO\senne\competition\data\train_labels\elby.tif,0.713
D:\ITMO\senne\competition\data\train_features\zbdn,D:\ITMO\senne\competition\data\train_labels\zbdn.tif,0.658
D:\ITMO\senne\competition\data\train_features\nfhb,D:\ITMO\senne\competition\data\train_labels\nfhb.tif,0.766
D:\ITMO\senne\competition\data\train_features\cmbs,D:\ITMO\senne\competition\data\train_labels\cmbs.tif,0.123
D:\ITMO\senne\competition\data\train_features\pciu,D:\ITMO\senne\competition\data\train_labels\pciu.tif,0.436
D:\ITMO\senne\competition\data\train_features\bgjx,D:\ITMO\senne\competition\data\train_labels\bgjx.tif,1.0
D:\ITMO\senne\competition\data\train_features\rvcl,D:\ITMO\senne\competition\data\train_labels\rvcl.tif,1.0
D:\ITMO\senne\competition\data\train_features\rjtz,D:\ITMO\senne\competition\data\train_labels\rjtz.tif,0.978
D:\ITMO\senne\competition\data\train_features\hrbh,D:\ITMO\senne\competition\data\train_labels\hrbh.tif,1.0
D:\ITMO\senne\competition\data\train_features\kskz,D:\ITMO\senne\competition\data\train_labels\kskz.tif,1.0
D:\ITMO\senne\competition\data\train_features\mtju,D:\ITMO\senne\competition\data\train_labels\mtju.tif,0.364
D:\ITMO\senne\competition\data\train_features\qyfb,D:\ITMO\senne\competition\data\train_labels\qyfb.tif,0.0
D:\ITMO\senne\competition\data\train_features\wfjf,D:\ITMO\senne\competition\data\train_labels\wfjf.tif,0.846
D:\ITMO\senne\competition\data\train_features\smmz,D:\ITMO\senne\competition\data\train_labels\smmz.tif,0.989
D:\ITMO\senne\competition\data\train_features\hngj,D:\ITMO\senne\competition\data\train_labels\hngj.tif,0.999
D:\ITMO\senne\competition\data\train_features\hzhw,D:\ITMO\senne\competition\data\train_labels\hzhw.tif,0.923
D:\ITMO\senne\competition\data\train_features\xkiv,D:\ITMO\senne\competition\data\train_labels\xkiv.tif,0.981
D:\ITMO\senne\competition\data\train_features\bvem,D:\ITMO\senne\competition\data\train_labels\bvem.tif,0.93
D:\ITMO\senne\competition\data\train_features\nizk,D:\ITMO\senne\competition\data\train_labels\nizk.tif,1.0
D:\ITMO\senne\competition\data\train_features\snjm,D:\ITMO\senne\competition\data\train_labels\snjm.tif,0.912
D:\ITMO\senne\competition\data\train_features\bkhs,D:\ITMO\senne\competition\data\train_labels\bkhs.tif,0.58
D:\ITMO\senne\competition\data\train_features\yzuk,D:\ITMO\senne\competition\data\train_labels\yzuk.tif,0.538
D:\ITMO\senne\competition\data\train_features\ibjn,D:\ITMO\senne\competition\data\train_labels\ibjn.tif,0.114
D:\ITMO\senne\competition\data\train_features\ymtq,D:\ITMO\senne\competition\data\train_labels\ymtq.tif,0.552
D:\ITMO\senne\competition\data\train_features\dcgg,D:\ITMO\senne\competition\data\train_labels\dcgg.tif,0.619
D:\ITMO\senne\competition\data\train_features\smew,D:\ITMO\senne\competition\data\train_labels\smew.tif,1.0
D:\ITMO\senne\competition\data\train_features\odcj,D:\ITMO\senne\competition\data\train_labels\odcj.tif,0.082
D:\ITMO\senne\competition\data\train_features\macn,D:\ITMO\senne\competition\data\train_labels\macn.tif,0.693
D:\ITMO\senne\competition\data\train_features\bxux,D:\ITMO\senne\competition\data\train_labels\bxux.tif,0.116
D:\ITMO\senne\competition\data\train_features\phfr,D:\ITMO\senne\competition\data\train_labels\phfr.tif,0.667
D:\ITMO\senne\competition\data\train_features\nehn,D:\ITMO\senne\competition\data\train_labels\nehn.tif,0.181
D:\ITMO\senne\competition\data\train_features\tgaw,D:\ITMO\senne\competition\data\train_labels\tgaw.tif,0.09
D:\ITMO\senne\competition\data\train_features\xzri,D:\ITMO\senne\competition\data\train_labels\xzri.tif,1.0
D:\ITMO\senne\competition\data\train_features\hnce,D:\ITMO\senne\competition\data\train_labels\hnce.tif,1.0
D:\ITMO\senne\competition\data\train_features\dfwk,D:\ITMO\senne\competition\data\train_labels\dfwk.tif,0.944
D:\ITMO\senne\competition\data\train_features\atlt,D:\ITMO\senne\competition\data\train_labels\atlt.tif,0.424
D:\ITMO\senne\competition\data\train_features\msbe,D:\ITMO\senne\competition\data\train_labels\msbe.tif,0.3
D:\ITMO\senne\competition\data\train_features\aisf,D:\ITMO\senne\competition\data\train_labels\aisf.tif,0.0
D:\ITMO\senne\competition\data\train_features\yxsc,D:\ITMO\senne\competition\data\train_labels\yxsc.tif,0.0
D:\ITMO\senne\competition\data\train_features\wysf,D:\ITMO\senne\competition\data\train_labels\wysf.tif,0.466
D:\ITMO\senne\competition\data\train_features\plrp,D:\ITMO\senne\competition\data\train_labels\plrp.tif,0.422
D:\ITMO\senne\competition\data\train_features\ldei,D:\ITMO\senne\competition\data\train_labels\ldei.tif,1.0
D:\ITMO\senne\competition\data\train_features\atnt,D:\ITMO\senne\competition\data\train_labels\atnt.tif,0.733
D:\ITMO\senne\competition\data\train_features\lcuc,D:\ITMO\senne\competition\data\train_labels\lcuc.tif,0.998
D:\ITMO\senne\competition\data\train_features\yvtn,D:\ITMO\senne\competition\data\train_labels\yvtn.tif,0.0
D:\ITMO\senne\competition\data\train_features\rtjd,D:\ITMO\senne\competition\data\train_labels\rtjd.tif,1.0
D:\ITMO\senne\competition\data\train_features\desa,D:\ITMO\senne\competition\data\train_labels\desa.tif,0.592
D:\ITMO\senne\competition\data\train_features\apmq,D:\ITMO\senne\competition\data\train_labels\apmq.tif,0.493
D:\ITMO\senne\competition\data\train_features\ldrb,D:\ITMO\senne\competition\data\train_labels\ldrb.tif,1.0
D:\ITMO\senne\competition\data\train_features\nlrn,D:\ITMO\senne\competition\data\train_labels\nlrn.tif,1.0
D:\ITMO\senne\competition\data\train_features\dcwf,D:\ITMO\senne\competition\data\train_labels\dcwf.tif,0.185
D:\ITMO\senne\competition\data\train_features\akqs,D:\ITMO\senne\competition\data\train_labels\akqs.tif,0.032
D:\ITMO\senne\competition\data\train_features\ctzl,D:\ITMO\senne\competition\data\train_labels\ctzl.tif,1.0
D:\ITMO\senne\competition\data\train_features\hpfj,D:\ITMO\senne\competition\data\train_labels\hpfj.tif,1.0
D:\ITMO\senne\competition\data\train_features\tarw,D:\ITMO\senne\competition\data\train_labels\tarw.tif,1.0
D:\ITMO\senne\competition\data\train_features\ajnb,D:\ITMO\senne\competition\data\train_labels\ajnb.tif,0.18
D:\ITMO\senne\competition\data\train_features\buyc,D:\ITMO\senne\competition\data\train_labels\buyc.tif,0.102
D:\ITMO\senne\competition\data\train_features\vveq,D:\ITMO\senne\competition\data\train_labels\vveq.tif,0.479
D:\ITMO\senne\competition\data\train_features\cbda,D:\ITMO\senne\competition\data\train_labels\cbda.tif,0.802
D:\ITMO\senne\competition\data\train_features\tflt,D:\ITMO\senne\competition\data\train_labels\tflt.tif,1.0
D:\ITMO\senne\competition\data\train_features\exjf,D:\ITMO\senne\competition\data\train_labels\exjf.tif,0.557
